,MAE,STD,base_estimator,learning_rate,loss,n_estimators
0,-1556478.588105859,64590.17985569433,"DecisionTreeRegressor(max_depth=10)",0.5,linear,10
1,-1634817.1811670393,69391.68166690164,"DecisionTreeRegressor(max_depth=10)",0.5,linear,25
2,-1756378.9643848822,55071.364391380455,"DecisionTreeRegressor(max_depth=10)",0.5,linear,50
3,-1523257.6748259268,66240.73471793752,"DecisionTreeRegressor(max_depth=10)",0.5,square,10
4,-1540454.5300252074,64356.03834619474,"DecisionTreeRegressor(max_depth=10)",0.5,square,25
5,-1607177.6988388991,72156.5523812244,"DecisionTreeRegressor(max_depth=10)",0.5,square,50
6,-1553646.5732321858,70239.45553819143,"DecisionTreeRegressor(max_depth=10)",0.5,exponential,10
7,-1618666.8253292022,61685.253392895,"DecisionTreeRegressor(max_depth=10)",0.5,exponential,25
8,-1737407.9425879405,58801.86845500018,"DecisionTreeRegressor(max_depth=10)",0.5,exponential,50
9,-1596800.976230038,61046.11405214897,"DecisionTreeRegressor(max_depth=10)",0.75,linear,10
10,-1725941.9157648345,65495.1242944288,"DecisionTreeRegressor(max_depth=10)",0.75,linear,25
11,-1823376.004352144,59942.997079401495,"DecisionTreeRegressor(max_depth=10)",0.75,linear,50
12,-1531543.0636093698,52181.75487709978,"DecisionTreeRegressor(max_depth=10)",0.75,square,10
13,-1585331.946046363,60062.90682686695,"DecisionTreeRegressor(max_depth=10)",0.75,square,25
14,-1650952.3411307503,68291.55218509525,"DecisionTreeRegressor(max_depth=10)",0.75,square,50
15,-1582696.180195,70067.19835923155,"DecisionTreeRegressor(max_depth=10)",0.75,exponential,10
16,-1701036.212114193,61099.20292210402,"DecisionTreeRegressor(max_depth=10)",0.75,exponential,25
17,-1806455.6284375554,58364.39725066149,"DecisionTreeRegressor(max_depth=10)",0.75,exponential,50
18,-1616772.2991904449,56343.71346143473,"DecisionTreeRegressor(max_depth=10)",1.0,linear,10
19,-1778666.5329320286,70967.83395374849,"DecisionTreeRegressor(max_depth=10)",1.0,linear,25
20,-1841709.251237608,55983.61677984481,"DecisionTreeRegressor(max_depth=10)",1.0,linear,50
21,-1552320.5853047008,56203.12752254179,"DecisionTreeRegressor(max_depth=10)",1.0,square,10
22,-1618483.8450028533,77108.7978372728,"DecisionTreeRegressor(max_depth=10)",1.0,square,25
23,-1710908.059330461,47907.14426390767,"DecisionTreeRegressor(max_depth=10)",1.0,square,50
24,-1613419.5136381206,76945.82085169555,"DecisionTreeRegressor(max_depth=10)",1.0,exponential,10
25,-1758347.5038706635,68823.6842059867,"DecisionTreeRegressor(max_depth=10)",1.0,exponential,25
26,-1837194.8220598614,54407.46787572342,"DecisionTreeRegressor(max_depth=10)",1.0,exponential,50
27,-1439848.6063248373,69469.84643266111,"DecisionTreeRegressor(max_depth=20)",0.5,linear,10
28,-1363276.430412492,65928.39912435826,"DecisionTreeRegressor(max_depth=20)",0.5,linear,25
29,-1343304.2731629303,65908.39853095802,"DecisionTreeRegressor(max_depth=20)",0.5,linear,50
30,-1428816.2302014418,69858.00268052533,"DecisionTreeRegressor(max_depth=20)",0.5,square,10
31,-1361848.494541999,67441.00808557177,"DecisionTreeRegressor(max_depth=20)",0.5,square,25
32,-1346289.811598004,62890.30870911789,"DecisionTreeRegressor(max_depth=20)",0.5,square,50
33,-1440869.8246239016,72963.76060279836,"DecisionTreeRegressor(max_depth=20)",0.5,exponential,10
34,-1363555.1818580294,63379.1596449966,"DecisionTreeRegressor(max_depth=20)",0.5,exponential,25
35,-1337470.731492444,61925.317292923966,"DecisionTreeRegressor(max_depth=20)",0.5,exponential,50
36,-1431108.0940194356,53981.75362990447,"DecisionTreeRegressor(max_depth=20)",0.75,linear,10
37,-1360536.6006251578,60848.42831006236,"DecisionTreeRegressor(max_depth=20)",0.75,linear,25
38,-1352338.818171827,57778.63842421947,"DecisionTreeRegressor(max_depth=20)",0.75,linear,50
39,-1418687.311910062,63989.76410383759,"DecisionTreeRegressor(max_depth=20)",0.75,square,10
40,-1365223.0190972674,55609.94710559229,"DecisionTreeRegressor(max_depth=20)",0.75,square,25
41,-1347378.5167111175,67828.76986688099,"DecisionTreeRegressor(max_depth=20)",0.75,square,50
42,-1434396.367783632,68474.09419749668,"DecisionTreeRegressor(max_depth=20)",0.75,exponential,10
43,-1368499.8381446986,50394.55244631672,"DecisionTreeRegressor(max_depth=20)",0.75,exponential,25
44,-1342729.6930956217,64407.06212936896,"DecisionTreeRegressor(max_depth=20)",0.75,exponential,50
45,-1437528.7117540818,58914.51503054566,"DecisionTreeRegressor(max_depth=20)",1.0,linear,10
